Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,SS3150_SMB,SMB_L4.6-W3.6-LS5.3-R-RD,241.4,-177.975,0,top
D2,SS3150_SMB,SMB_L4.6-W3.6-LS5.3-R-RD,249.445,-113.27,0,top
D3,SS3150_SMB,SMB_L4.6-W3.6-LS5.3-R-RD,285.125,-218.225,180,top
DC1,DC-044K-D025,DC-IN-TH_DC-044K-D025,1,0.6,-90,top
J1,HDMI_A_1.4,HDMI-TH_HDMI-019A,25.4,0,180,top
J2,HDMI_A_1.4,HDMI-TH_HDMI-019A,63.5,0,180,top
J3,HDMI_A_1.4,HDMI-TH_HDMI-019A,101.6,0,180,top
J4,HDMI_A_1.4,HDMI-TH_HDMI-019A,139.7,0,180,top
J5,HDMI_A_1.4,HDMI-TH_HDMI-019A,177.8,0,180,top
J6,HDMI_A_1.4,HDMI-TH_HDMI-019A,215.9,0,180,top
J7,HDMI_A_1.4,HDMI-TH_HDMI-019A,254,0,180,top
J8,HDMI_A_1.4,HDMI-TH_HDMI-019A,292.1,0,180,top
J9,HDMI_A_1.4,HDMI-TH_HDMI-019A,330.2,0,180,top
J10,JST_SH_Conn_01x04_UART 1,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,200,-194,-90,top
J11,JST_SH_Conn_01x04_MUX 1,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,208,-194,-90,top
J12,JST_SH_Conn_01x04_UART 0,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,208,-178,-90,top
J13,JST_SH_Conn_01x04_MUX 0,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,200,-178,-90,top
J14,Conn_01x07_Female,PinSocket_1x07_P2.54mm_Vertical,219.36,-178.05,0,top
J15,Conn_01x07_Female,PinSocket_1x07_P2.54mm_Vertical,234.6,-178.05,0,top
J16,JST_SH_Conn_01x04_D HEad,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,122.925,-28.75,180,top
J17,JST_SH_Conn_01x04_3Head B,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,60.1,-30,180,top
J18,JST_SH_Conn_01x04_3Head A,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,43.7,-30,180,top
J19,JST_SH_Conn_01x04_4Head B,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,68.315,-30,180,top
J20,JST_SH_Conn_01x04_Still,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,131.13,-28.75,180,top
J21,JST_SH_Conn_01x04_4Head A,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,51.9,-30,180,top
J22,JST_SH_Conn_01x04_4Pump Diode B,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,284.66,-30.643,0,top
J23,JST_SH_Conn_01x04_4Pump Diode A,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,261.41,-30.643,0,top
J24,JST_SH_Conn_01x04_3Pump Diode B,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,284.66,-39.143,0,top
J25,JST_SH_Conn_01x04_3Pump Diode A,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,261.41,-39.143,0,top
J26,JST_SH_Conn_01x04_4Switch Diode B,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,294.66,-30.643,0,top
J27,JST_SH_Conn_01x04_Condenser,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,139.33,-28.75,180,top
J28,JST_SH_Conn_01x04_4Switch Diode A,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,270.91,-30.643,0,top
J29,JST_SH_Conn_01x04_3Switch Diode B,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,294.66,-39.143,0,top
J30,Conn_01x02_Still Heater,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,229,-166,0,top
J31,JST_SH_Conn_01x04_3Switch Diode A,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,270.91,-39.143,0,top
J32,Conn_01x02_15 pin Extra,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,307.585,-12.413,0,top
J33,Conn_01x02_4SwitchHeater B,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,235,-147,0,top
J34,Conn_01x02_4SwitchHeater A,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,223,-147,0,top
J35,Conn_01x02_3SwitchHeater B,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,235,-157,0,top
J36,Conn_01x02_3SwitchHeater A,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,223,-157,0,top
J37,JST_SH_Conn_01x04_40K Diode,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,319.41,-39.143,0,top
J38,Conn_01x02_4PumpHeater B,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,175,-79,0,top
J39,Conn_01x02_4PumpHeater A,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,175,-61,0,top
J40,Conn_01x02_3PumpHeater B,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,175,-88,0,top
J41,Conn_01x02_3PumpHeater A,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,175,-70,0,top
J42,JST_SH_Conn_01x04_4K Diode,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,319.41,-32.143,0,top
J43,Conn_01x02_Extra B,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,195.96,-7.663,0,top
J44,Conn_01x02_Extra A,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,115.86,-9.688,0,top
J45,Conn_01x02_Extra B,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,195.94,-1.293,0,top
J46,Conn_01x02_Extra A,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,115.86,-1.288,0,top
J47,Conn_01x02_Lockin 5V,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,-5.277,-154.4,90,top
J48,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,241.375,-185.648,0,top
J49,JST_SH_Conn_01x04_4K Diode,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,331.8,-102.598,180,top
J50,Conn_01x02_Female_HP1,PinSocket_1x02_P2.54mm_Vertical,184.55,-116.5,0,top
J51,Conn_01x02_Female_HP2,PinSocket_1x02_P2.54mm_Vertical,184.55,-122.725,0,top
J52,Conn_01x02_Female_HP3,PinSocket_1x02_P2.54mm_Vertical,184.55,-128.95,0,top
J53,Conn_01x04,PinSocket_1x04_P2.54mm_Vertical,315.975,-205.544,0,top
J54,JST_SH_Conn_01x04_40K Diode,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,322.8,-102.598,180,top
J55,Conn_01x07_Female,PinSocket_1x07_P2.54mm_Vertical,226.47,-113.66,0,top
J56,Conn_01x05_Female_LPH,PinSocket_1x05_P2.54mm_Vertical,239.802,-135.175,-90,top
J57,Conn_01x07_Female,PinSocket_1x07_P2.54mm_Vertical,241.71,-113.66,0,top
J58,Conn_01x07_Female,PinSocket_1x07_P2.54mm_Vertical,308.04,-218.25,180,top
J59,Conn_01x07_Female,PinSocket_1x07_P2.54mm_Vertical,292.8,-218.25,180,top
J60,Conn_01x02_Female_HP4,PinSocket_1x02_P2.54mm_Vertical,184.55,-135.175,0,top
J61,Conn_01x03,PinSocket_1x03_P2.54mm_Vertical,284.625,-210.652,180,top
J62,JST_SH_Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,206.8,-143.5,0,top
J63,JST_SH_Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,206.8,-134.5,0,top
J64,JST_SH_Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,206.8,-125.5,0,top
J65,JST_SH_Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,206.8,-116.5,0,top
J66,JST_SH_Conn_01x04,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,206.8,-107.5,0,top
J67,Conn_01x02_Lockin 5V,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,81,-152,90,top
J68,Conn_01x02_HP_5V,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,243.95,-104.3,180,top
R1,4.7K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,212.73,-140.527,0,top
R2,4.7K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,212.72,-137.953,0,top
USB1,TYPE-604-T3,USB-C-TH_TYPE-604-T3,72,-236,0,top
USB2,U-USBAS04P-F000,USB-A-TH_U-A-24DD-Y-2,72,-249.5,0,top
